Subject 32139: V: 100 | C: 98.39 | Overall score: 99.19 

Subject 81317: V: 100 | C: 90.88 | Overall score: 95.44 

Subject 8746: V: 100 | C: 90.88 | Overall score: 95.44 

Subject 87999: V: 100 | C: 90.87 | Overall score: 95.44 

Subject 95952: V: 100 | C: 90.88 | Overall score: 95.44 

Subject 9747: V: 100 | C: 90.88 | Overall score: 95.44 

Subject 16216: V: 100 | C: 90.86 | Overall score: 95.43 

Subject 16511: V: 100 | C: 90.86 | Overall score: 95.43 

Subject 2842: V: 100 | C: 90.86 | Overall score: 95.43 

Subject 31275: V: 100 | C: 90.86 | Overall score: 95.43 

Subject 40622: V: 100 | C: 90.86 | Overall score: 95.43 

Subject 56898: V: 100 | C: 90.86 | Overall score: 95.43 

Subject 68579: V: 100 | C: 90.86 | Overall score: 95.43 

Subject 6960: V: 100 | C: 90.86 | Overall score: 95.43 

Subject 72739: V: 100 | C: 90.86 | Overall score: 95.43 

Subject 9957: V: 100 | C: 90.86 | Overall score: 95.43 

Subject 10446: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 13745: V: 100 | C: 90.84 | Overall score: 95.42 

Subject 15267: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 17889: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 18690: V: 100 | C: 90.84 | Overall score: 95.42 

Subject 21638: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 27051: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 28476: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 30316: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 3078: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 32529: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 397: V: 100 | C: 90.84 | Overall score: 95.42 

Subject 48373: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 4925: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 59199: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 59619: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 60653: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 6143: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 6271: V: 100 | C: 90.84 | Overall score: 95.42 

Subject 6313: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 68464: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 73770: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 7448: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 74575: V: 100 | C: 90.84 | Overall score: 95.42 

Subject 76799: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 78988: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 82055: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 8461: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 8489: V: 100 | C: 90.84 | Overall score: 95.42 

Subject 8790: V: 100 | C: 90.84 | Overall score: 95.42 

Subject 94932: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 9653: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 98268: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 99197: V: 100 | C: 90.85 | Overall score: 95.42 

Subject 14498: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 15461: V: 100 | C: 90.82 | Overall score: 95.41 

Subject 1581: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 19508: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 19859: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 22915: V: 100 | C: 90.82 | Overall score: 95.41 

Subject 23097: V: 100 | C: 90.82 | Overall score: 95.41 

Subject 29504: V: 100 | C: 90.81 | Overall score: 95.41 

Subject 30335: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 30607: V: 100 | C: 90.82 | Overall score: 95.41 

Subject 30881: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 3156: V: 100 | C: 90.81 | Overall score: 95.41 

Subject 32643: V: 100 | C: 90.81 | Overall score: 95.41 

Subject 41468: V: 100 | C: 90.81 | Overall score: 95.41 

Subject 43729: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 4390: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 44856: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 48090: V: 100 | C: 90.81 | Overall score: 95.41 

Subject 57110: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 5979: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 68377: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 80843: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 87782: V: 100 | C: 90.83 | Overall score: 95.41 

Subject 8974: V: 100 | C: 90.82 | Overall score: 95.41 

Subject 89973: V: 100 | C: 90.82 | Overall score: 95.41 

Subject 1284: V: 100 | C: 90.8 | Overall score: 95.40 

Subject 13386: V: 100 | C: 90.79 | Overall score: 95.40 

Subject 1611: V: 100 | C: 90.8 | Overall score: 95.40 

Subject 16789: V: 100 | C: 90.79 | Overall score: 95.40 

Subject 16877: V: 100 | C: 90.79 | Overall score: 95.40 

Subject 18688: V: 100 | C: 90.8 | Overall score: 95.40 

Subject 1893: V: 100 | C: 90.8 | Overall score: 95.40 

Subject 19142: V: 100 | C: 90.79 | Overall score: 95.40 

Subject 22303: V: 100 | C: 90.79 | Overall score: 95.40 

Subject 22425: V: 100 | C: 90.79 | Overall score: 95.40 

Subject 2397: V: 100 | C: 90.8 | Overall score: 95.40 

Subject 24777: V: 100 | C: 90.79 | Overall score: 95.40 

Subject 28726: V: 100 | C: 90.79 | Overall score: 95.40 

Subject 5370: V: 100 | C: 90.8 | Overall score: 95.40 

Subject 66244: V: 100 | C: 90.79 | Overall score: 95.40 

Subject 7933: V: 100 | C: 90.8 | Overall score: 95.40 

Subject 82104: V: 100 | C: 90.8 | Overall score: 95.40 

Subject 8213: V: 100 | C: 90.8 | Overall score: 95.40 

Subject 83182: V: 100 | C: 90.79 | Overall score: 95.40 

Subject 9190: V: 100 | C: 90.8 | Overall score: 95.40 

Subject 91989: V: 100 | C: 90.79 | Overall score: 95.40 

Subject 9497: V: 100 | C: 90.8 | Overall score: 95.40 

Subject 10399: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 11817: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 12915: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 18126: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 18852: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 22259: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 25437: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 29487: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 31773: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 4847: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 52296: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 54877: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 5866: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 66275: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 84638: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 91048: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 930: V: 100 | C: 90.78 | Overall score: 95.39 

Subject 11908: V: 100 | C: 90.77 | Overall score: 95.38 

Subject 13640: V: 100 | C: 90.77 | Overall score: 95.38 

Subject 13953: V: 100 | C: 90.76 | Overall score: 95.38 

Subject 15819: V: 100 | C: 90.75 | Overall score: 95.38 

Subject 22989: V: 100 | C: 90.75 | Overall score: 95.38 

Subject 23699: V: 100 | C: 90.76 | Overall score: 95.38 

Subject 27192: V: 100 | C: 90.76 | Overall score: 95.38 

Subject 2794: V: 100 | C: 90.75 | Overall score: 95.38 

Subject 32389: V: 100 | C: 90.75 | Overall score: 95.38 

Subject 3304: V: 100 | C: 90.76 | Overall score: 95.38 

Subject 40388: V: 100 | C: 90.75 | Overall score: 95.38 

Subject 4073: V: 100 | C: 90.77 | Overall score: 95.38 

Subject 49841: V: 100 | C: 90.77 | Overall score: 95.38 

Subject 65741: V: 100 | C: 90.75 | Overall score: 95.38 

Subject 68475: V: 100 | C: 90.76 | Overall score: 95.38 

Subject 7242: V: 100 | C: 90.75 | Overall score: 95.38 

Subject 7262: V: 100 | C: 90.75 | Overall score: 95.38 

Subject 80675: V: 100 | C: 90.77 | Overall score: 95.38 

Subject 83468: V: 100 | C: 90.75 | Overall score: 95.38 

Subject 83777: V: 100 | C: 90.76 | Overall score: 95.38 

Subject 83815: V: 100 | C: 90.77 | Overall score: 95.38 

Subject 85175: V: 100 | C: 90.75 | Overall score: 95.38 

Subject 85853: V: 100 | C: 90.77 | Overall score: 95.38 

Subject 89179: V: 100 | C: 90.76 | Overall score: 95.38 

Subject 90158: V: 100 | C: 90.75 | Overall score: 95.38 

Subject 14195: V: 100 | C: 90.74 | Overall score: 95.37 

Subject 17888: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 18541: V: 100 | C: 90.74 | Overall score: 95.37 

Subject 20950: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 24030: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 24063: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 25442: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 28339: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 28880: V: 100 | C: 90.74 | Overall score: 95.37 

Subject 30334: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 31425: V: 100 | C: 90.74 | Overall score: 95.37 

Subject 32456: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 47667: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 503: V: 100 | C: 90.74 | Overall score: 95.37 

Subject 5506: V: 100 | C: 90.74 | Overall score: 95.37 

Subject 55783: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 6535: V: 100 | C: 90.74 | Overall score: 95.37 

Subject 69685: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 70496: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 75772: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 81745: V: 100 | C: 90.74 | Overall score: 95.37 

Subject 87206: V: 100 | C: 90.73 | Overall score: 95.37 

Subject 8947: V: 100 | C: 90.74 | Overall score: 95.37 

Subject 9835: V: 100 | C: 90.74 | Overall score: 95.37 

Subject 10152: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 1353: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 15514: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 17206: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 17212: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 22984: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 23336: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 25027: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 25939: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 2635: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 28037: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 5281: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 56874: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 65130: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 74955: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 82512: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 90959: V: 100 | C: 90.72 | Overall score: 95.36 

Subject 10980: V: 100 | C: 90.71 | Overall score: 95.35 

Subject 17920: V: 100 | C: 90.7 | Overall score: 95.35 

Subject 18988: V: 100 | C: 90.7 | Overall score: 95.35 

Subject 19208: V: 100 | C: 90.71 | Overall score: 95.35 

Subject 19834: V: 100 | C: 90.71 | Overall score: 95.35 

Subject 25289: V: 100 | C: 90.71 | Overall score: 95.35 

Subject 26749: V: 100 | C: 90.7 | Overall score: 95.35 

Subject 28050: V: 100 | C: 90.71 | Overall score: 95.35 

Subject 31111: V: 100 | C: 90.71 | Overall score: 95.35 

Subject 49562: V: 100 | C: 90.71 | Overall score: 95.35 

Subject 55715: V: 100 | C: 90.71 | Overall score: 95.35 

Subject 60792: V: 100 | C: 90.7 | Overall score: 95.35 

Subject 69395: V: 100 | C: 90.71 | Overall score: 95.35 

Subject 7320: V: 100 | C: 90.71 | Overall score: 95.35 

Subject 74711: V: 100 | C: 90.71 | Overall score: 95.35 

Subject 82139: V: 100 | C: 90.7 | Overall score: 95.35 

Subject 88649: V: 100 | C: 90.7 | Overall score: 95.35 

Subject 10400: V: 100 | C: 90.68 | Overall score: 95.34 

Subject 13078: V: 100 | C: 90.67 | Overall score: 95.34 

Subject 13696: V: 100 | C: 90.68 | Overall score: 95.34 

Subject 14291: V: 100 | C: 90.68 | Overall score: 95.34 

Subject 1509: V: 100 | C: 90.68 | Overall score: 95.34 

Subject 15452: V: 100 | C: 90.67 | Overall score: 95.34 

Subject 19141: V: 100 | C: 90.68 | Overall score: 95.34 

Subject 19359: V: 100 | C: 90.67 | Overall score: 95.34 

Subject 20515: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 22508: V: 100 | C: 90.67 | Overall score: 95.34 

Subject 22657: V: 100 | C: 90.68 | Overall score: 95.34 

Subject 23041: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 24981: V: 100 | C: 90.68 | Overall score: 95.34 

Subject 26488: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 27473: V: 100 | C: 90.67 | Overall score: 95.34 

Subject 29058: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 29857: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 3137: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 3218: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 40706: V: 100 | C: 90.67 | Overall score: 95.34 

Subject 42486: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 4575: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 4712: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 49276: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 62795: V: 100 | C: 90.67 | Overall score: 95.34 

Subject 63351: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 66067: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 70222: V: 100 | C: 90.68 | Overall score: 95.34 

Subject 73509: V: 100 | C: 90.68 | Overall score: 95.34 

Subject 87461: V: 100 | C: 90.68 | Overall score: 95.34 

Subject 88795: V: 100 | C: 90.67 | Overall score: 95.34 

Subject 90165: V: 100 | C: 90.68 | Overall score: 95.34 

Subject 91313: V: 100 | C: 90.69 | Overall score: 95.34 

Subject 10049: V: 100 | C: 90.65 | Overall score: 95.33 

Subject 11336: V: 100 | C: 90.66 | Overall score: 95.33 

Subject 15676: V: 100 | C: 90.65 | Overall score: 95.33 

Subject 30071: V: 100 | C: 90.66 | Overall score: 95.33 

Subject 40123: V: 100 | C: 90.65 | Overall score: 95.33 

Subject 54623: V: 100 | C: 90.66 | Overall score: 95.33 

Subject 67903: V: 100 | C: 90.65 | Overall score: 95.33 

Subject 74860: V: 100 | C: 90.65 | Overall score: 95.33 

Subject 78797: V: 100 | C: 90.65 | Overall score: 95.33 

Subject 7887: V: 100 | C: 90.65 | Overall score: 95.33 

Subject 8444: V: 100 | C: 90.65 | Overall score: 95.33 

Subject 86531: V: 100 | C: 90.66 | Overall score: 95.33 

Subject 88852: V: 100 | C: 90.66 | Overall score: 95.33 

Subject 1096: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 12119: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 13136: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 25395: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 28458: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 30610: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 31827: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 65611: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 72392: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 75626: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 820: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 9356: V: 100 | C: 90.64 | Overall score: 95.32 

Subject 10032: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 12426: V: 100 | C: 90.63 | Overall score: 95.31 

Subject 12434: V: 100 | C: 90.63 | Overall score: 95.31 

Subject 14514: V: 100 | C: 90.63 | Overall score: 95.31 

Subject 15227: V: 100 | C: 90.61 | Overall score: 95.31 

Subject 17144: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 17174: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 17320: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 2022: V: 100 | C: 90.63 | Overall score: 95.31 

Subject 24295: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 24901: V: 100 | C: 90.63 | Overall score: 95.31 

Subject 26472: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 28318: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 32222: V: 100 | C: 90.63 | Overall score: 95.31 

Subject 40085: V: 100 | C: 90.63 | Overall score: 95.31 

Subject 5033: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 52298: V: 100 | C: 90.63 | Overall score: 95.31 

Subject 53461: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 5620: V: 100 | C: 90.61 | Overall score: 95.31 

Subject 6003: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 6255: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 6962: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 71774: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 79242: V: 100 | C: 90.61 | Overall score: 95.31 

Subject 81786: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 8298: V: 100 | C: 90.61 | Overall score: 95.31 

Subject 86821: V: 100 | C: 90.61 | Overall score: 95.31 

Subject 93610: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 95925: V: 100 | C: 90.61 | Overall score: 95.31 

Subject 97716: V: 100 | C: 90.62 | Overall score: 95.31 

Subject 97786: V: 100 | C: 90.63 | Overall score: 95.31 

Subject 1301: V: 100 | C: 90.6 | Overall score: 95.30 

Subject 13054: V: 100 | C: 90.59 | Overall score: 95.30 

Subject 14347: V: 100 | C: 90.59 | Overall score: 95.30 

Subject 14699: V: 100 | C: 90.59 | Overall score: 95.30 

Subject 18696: V: 100 | C: 90.59 | Overall score: 95.30 

Subject 19075: V: 100 | C: 90.59 | Overall score: 95.30 

Subject 19736: V: 100 | C: 90.59 | Overall score: 95.30 

Subject 27642: V: 100 | C: 90.59 | Overall score: 95.30 

Subject 52766: V: 100 | C: 90.6 | Overall score: 95.30 

Subject 5955: V: 100 | C: 90.6 | Overall score: 95.30 

Subject 59980: V: 100 | C: 90.6 | Overall score: 95.30 

Subject 64260: V: 100 | C: 90.6 | Overall score: 95.30 

Subject 75170: V: 100 | C: 90.6 | Overall score: 95.30 

Subject 870: V: 100 | C: 90.59 | Overall score: 95.30 

Subject 94484: V: 100 | C: 90.6 | Overall score: 95.30 

Subject 12479: V: 100 | C: 90.58 | Overall score: 95.29 

Subject 12526: V: 100 | C: 90.58 | Overall score: 95.29 

Subject 17674: V: 100 | C: 90.58 | Overall score: 95.29 

Subject 21002: V: 100 | C: 90.58 | Overall score: 95.29 

Subject 24431: V: 100 | C: 90.58 | Overall score: 95.29 

Subject 2664: V: 100 | C: 90.58 | Overall score: 95.29 

Subject 28946: V: 100 | C: 90.58 | Overall score: 95.29 

Subject 55935: V: 100 | C: 90.58 | Overall score: 95.29 

Subject 73184: V: 100 | C: 90.58 | Overall score: 95.29 

Subject 75632: V: 100 | C: 90.58 | Overall score: 95.29 

Subject 11200: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 1265: V: 100 | C: 90.56 | Overall score: 95.28 

Subject 12670: V: 100 | C: 90.57 | Overall score: 95.28 

Subject 15116: V: 100 | C: 90.56 | Overall score: 95.28 

Subject 15504: V: 100 | C: 90.57 | Overall score: 95.28 

Subject 15892: V: 100 | C: 90.57 | Overall score: 95.28 

Subject 18182: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 18183: V: 100 | C: 90.57 | Overall score: 95.28 

Subject 18790: V: 100 | C: 90.57 | Overall score: 95.28 

Subject 19496: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 25997: V: 100 | C: 90.56 | Overall score: 95.28 

Subject 28073: V: 100 | C: 90.56 | Overall score: 95.28 

Subject 28164: V: 100 | C: 90.56 | Overall score: 95.28 

Subject 3184: V: 100 | C: 90.56 | Overall score: 95.28 

Subject 32427: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 32768: V: 100 | C: 90.56 | Overall score: 95.28 

Subject 3477: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 4333: V: 100 | C: 90.57 | Overall score: 95.28 

Subject 4538: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 49255: V: 100 | C: 90.57 | Overall score: 95.28 

Subject 549: V: 100 | C: 90.57 | Overall score: 95.28 

Subject 55729: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 60341: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 67415: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 68268: V: 100 | C: 90.57 | Overall score: 95.28 

Subject 6845: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 69992: V: 100 | C: 90.56 | Overall score: 95.28 

Subject 75160: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 77502: V: 100 | C: 90.56 | Overall score: 95.28 

Subject 84236: V: 100 | C: 90.56 | Overall score: 95.28 

Subject 98400: V: 100 | C: 90.55 | Overall score: 95.28 

Subject 1066: V: 100 | C: 90.53 | Overall score: 95.27 

Subject 13946: V: 100 | C: 90.54 | Overall score: 95.27 

Subject 1530: V: 100 | C: 90.53 | Overall score: 95.27 

Subject 19708: V: 100 | C: 90.53 | Overall score: 95.27 

Subject 23422: V: 100 | C: 90.54 | Overall score: 95.27 

Subject 24349: V: 100 | C: 90.53 | Overall score: 95.27 

Subject 24713: V: 100 | C: 90.54 | Overall score: 95.27 

Subject 26726: V: 100 | C: 90.54 | Overall score: 95.27 

Subject 29218: V: 100 | C: 90.54 | Overall score: 95.27 

Subject 29830: V: 100 | C: 90.54 | Overall score: 95.27 

Subject 31418: V: 100 | C: 90.53 | Overall score: 95.27 

Subject 40013: V: 100 | C: 90.54 | Overall score: 95.27 

Subject 50366: V: 100 | C: 90.54 | Overall score: 95.27 

Subject 51669: V: 100 | C: 90.54 | Overall score: 95.27 

Subject 5454: V: 100 | C: 90.53 | Overall score: 95.27 

Subject 63028: V: 100 | C: 90.53 | Overall score: 95.27 

Subject 63569: V: 100 | C: 90.54 | Overall score: 95.27 

Subject 65833: V: 100 | C: 90.53 | Overall score: 95.27 

Subject 68177: V: 100 | C: 90.54 | Overall score: 95.27 

Subject 11228: V: 100 | C: 90.52 | Overall score: 95.26 

Subject 12830: V: 100 | C: 90.52 | Overall score: 95.26 

Subject 14763: V: 100 | C: 90.52 | Overall score: 95.26 

Subject 17820: V: 100 | C: 90.52 | Overall score: 95.26 

Subject 22986: V: 100 | C: 90.52 | Overall score: 95.26 

Subject 28160: V: 100 | C: 90.52 | Overall score: 95.26 

Subject 2912: V: 100 | C: 90.52 | Overall score: 95.26 

Subject 56391: V: 100 | C: 90.52 | Overall score: 95.26 

Subject 69281: V: 100 | C: 90.52 | Overall score: 95.26 

Subject 76601: V: 100 | C: 90.52 | Overall score: 95.26 

Subject 8606: V: 100 | C: 90.52 | Overall score: 95.26 

Subject 10695: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 10835: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 11095: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 11782: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 13167: V: 100 | C: 90.5 | Overall score: 95.25 

Subject 13967: V: 100 | C: 90.49 | Overall score: 95.25 

Subject 17680: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 19177: V: 100 | C: 90.49 | Overall score: 95.25 

Subject 24958: V: 100 | C: 90.5 | Overall score: 95.25 

Subject 252: V: 100 | C: 90.49 | Overall score: 95.25 

Subject 25635: V: 100 | C: 90.5 | Overall score: 95.25 

Subject 26895: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 28776: V: 100 | C: 90.49 | Overall score: 95.25 

Subject 32114: V: 100 | C: 90.5 | Overall score: 95.25 

Subject 40672: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 41842: V: 100 | C: 90.5 | Overall score: 95.25 

Subject 42194: V: 100 | C: 90.49 | Overall score: 95.25 

Subject 46373: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 5471: V: 100 | C: 90.49 | Overall score: 95.25 

Subject 5905: V: 100 | C: 90.49 | Overall score: 95.25 

Subject 6294: V: 100 | C: 90.49 | Overall score: 95.25 

Subject 64597: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 74857: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 7537: V: 100 | C: 90.5 | Overall score: 95.25 

Subject 75403: V: 100 | C: 90.5 | Overall score: 95.25 

Subject 7633: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 77237: V: 100 | C: 90.5 | Overall score: 95.25 

Subject 84585: V: 100 | C: 90.5 | Overall score: 95.25 

Subject 90021: V: 100 | C: 90.5 | Overall score: 95.25 

Subject 94734: V: 100 | C: 90.5 | Overall score: 95.25 

Subject 95030: V: 100 | C: 90.51 | Overall score: 95.25 

Subject 9783: V: 100 | C: 90.49 | Overall score: 95.25 

Subject 99894: V: 100 | C: 90.49 | Overall score: 95.25 

Subject 12543: V: 100 | C: 90.48 | Overall score: 95.24 

Subject 18459: V: 100 | C: 90.48 | Overall score: 95.24 

Subject 24126: V: 100 | C: 90.48 | Overall score: 95.24 

Subject 25305: V: 100 | C: 90.48 | Overall score: 95.24 

Subject 28762: V: 100 | C: 90.48 | Overall score: 95.24 

Subject 88220: V: 100 | C: 90.48 | Overall score: 95.24 

Subject 9312: V: 100 | C: 90.48 | Overall score: 95.24 

Subject 11282: V: 100 | C: 90.46 | Overall score: 95.23 

Subject 11805: V: 100 | C: 90.46 | Overall score: 95.23 

Subject 11837: V: 100 | C: 90.47 | Overall score: 95.23 

Subject 12611: V: 100 | C: 90.46 | Overall score: 95.23 

Subject 1294: V: 100 | C: 90.47 | Overall score: 95.23 

Subject 14473: V: 100 | C: 90.46 | Overall score: 95.23 

Subject 1551: V: 100 | C: 90.46 | Overall score: 95.23 

Subject 17559: V: 100 | C: 90.47 | Overall score: 95.23 

Subject 17817: V: 100 | C: 90.46 | Overall score: 95.23 

Subject 29327: V: 100 | C: 90.47 | Overall score: 95.23 

Subject 29742: V: 100 | C: 90.47 | Overall score: 95.23 

Subject 32500: V: 100 | C: 90.47 | Overall score: 95.23 

